date,open,high,low,close,adj close,first_diff,pc_change,year,month,day,day_of_week
2000-03-14,1383.619995,1395.150024,1359.150024,1359.150024,1359.150024,-24.469970999999987,-1.768547078564009,2000,3,14,1
2000-03-15,1359.150024,1397.98999,1356.98999,1392.140015,1392.140015,32.98999099999992,2.4272516217827,2000,3,15,2
2000-03-16,1392.150024,1458.469971,1392.150024,1458.469971,1458.469971,66.32995600000004,4.764603795976652,2000,3,16,3
2000-03-17,1458.469971,1477.329956,1453.319946,1464.469971,1464.469971,6.0,0.4113900264868686,2000,3,17,4
2000-03-20,1464.469971,1470.300049,1448.48999,1456.630005,1456.630005,-7.839966000000004,-0.5353449476773187,2000,3,20,0
2000-03-21,1456.630005,1493.920044,1446.060059,1493.869995,1493.869995,37.239990000000034,2.5565853972642882,2000,3,21,1
2000-03-22,1493.869995,1505.079956,1487.329956,1500.640015,1500.640015,6.770019999999931,0.4531866911216653,2000,3,22,2
2000-03-23,1500.640015,1532.5,1492.390015,1527.349976,1527.349976,26.70996100000002,1.7799046228951898,2000,3,23,3
2000-03-24,1527.349976,1552.869995,1516.829956,1527.459961,1527.459961,0.10998500000005151,0.007201034584625177,2000,3,24,4
2000-03-27,1527.459961,1534.630005,1518.459961,1523.859985,1523.859985,-3.5999759999999696,-0.23568382097839402,2000,3,27,0
2000-03-28,1523.859985,1527.359985,1507.089966,1507.72998,1507.72998,-16.130004999999983,-1.0584965258471524,2000,3,28,1
2000-03-29,1507.72998,1521.449951,1497.449951,1508.52002,1508.52002,0.7900399999998626,0.05239930295741768,2000,3,29,2
2000-03-30,1508.52002,1517.380005,1474.630005,1487.920044,1487.920044,-20.59997599999997,-1.36557524771862,2000,3,30,3
2000-03-31,1487.920044,1519.810059,1484.380005,1498.579956,1498.579956,10.659912000000077,0.7164304320642634,2000,3,31,4
2000-04-03,1498.579956,1507.189941,1486.959961,1505.969971,1505.969971,7.3900149999999485,0.4931345151396149,2000,4,3,0
2000-04-04,1505.97998,1526.449951,1416.410034,1494.72998,1494.72998,-11.239990999999918,-0.7463622261031033,2000,4,4,1
2000-04-05,1494.72998,1506.550049,1478.050049,1487.369995,1487.369995,-7.3599850000000515,-0.49239562318807995,2000,4,5,2
2000-04-06,1487.369995,1511.76001,1487.369995,1501.339966,1501.339966,13.969970999999987,0.9392398022658677,2000,4,6,3
2000-04-07,1501.339966,1518.680054,1501.339966,1516.349976,1516.349976,15.010009999999966,0.9997742243544661,2000,4,7,4
2000-04-10,1516.349976,1527.189941,1503.349976,1504.459961,1504.459961,-11.890014999999948,-0.7841207628970226,2000,4,10,0
2000-04-11,1504.459961,1512.800049,1486.780029,1500.589966,1500.589966,-3.869995000000017,-0.25723482846480294,2000,4,11,1
2000-04-12,1500.589966,1509.079956,1466.150024,1467.170044,1467.170044,-33.41992200000004,-2.2271188504002115,2000,4,12,2
2000-04-13,1467.170044,1477.52002,1439.339966,1440.51001,1440.51001,-26.660033999999996,-1.8171059386760446,2000,4,13,3
2000-04-14,1440.51001,1440.51001,1339.400024,1356.560059,1356.560059,-83.94995100000006,-5.827793657608815,2000,4,14,4
2000-04-17,1356.560059,1401.530029,1346.5,1401.439941,1401.439941,44.87988200000018,3.3083593831506164,2000,4,17,0
2000-04-18,1401.439941,1441.609985,1397.810059,1441.609985,1441.609985,40.17004399999996,2.866340741747142,2000,4,18,1
2000-04-19,1441.609985,1447.689941,1424.26001,1427.469971,1427.469971,-14.140014000000065,-0.9808487834523483,2000,4,19,2
2000-04-20,1427.469971,1435.48999,1422.079956,1434.540039,1434.540039,7.070067999999992,0.495286636050718,2000,4,20,3
2000-04-24,1434.540039,1434.540039,1407.130005,1429.859985,1429.859985,-4.680053999999927,-0.32624073729321523,2000,4,24,0
2000-04-25,1429.859985,1477.670044,1429.859985,1477.439941,1477.439941,47.57995600000004,3.32759546383139,2000,4,25,1
2000-04-26,1477.439941,1482.939941,1456.97998,1460.98999,1460.98999,-16.449951000000056,-1.113409116912456,2000,4,26,2
2000-04-27,1460.98999,1469.209961,1434.810059,1464.920044,1464.920044,3.9300539999999273,0.2689993789758871,2000,4,27,3
2000-04-28,1464.920044,1473.619995,1448.150024,1452.430054,1452.430054,-12.489990000000034,-0.8526055774276786,2000,4,28,4
2000-05-01,1452.430054,1481.51001,1452.430054,1468.25,1468.25,15.819946000000073,1.089205360108858,2000,5,1,0
2000-05-02,1468.25,1468.25,1445.219971,1446.290039,1446.290039,-21.95996100000002,-1.4956554401498345,2000,5,2,1
2000-05-03,1446.290039,1446.290039,1398.359985,1415.099976,1415.099976,-31.19006300000001,-2.1565565798659314,2000,5,3,2
2000-05-04,1415.099976,1420.98999,1404.939941,1409.569946,1409.569946,-5.530029999999897,-0.3907872301454951,2000,5,4,3
2000-05-05,1409.569946,1436.030029,1405.079956,1432.630005,1432.630005,23.06005899999991,1.6359641510120593,2000,5,5,4
2000-05-08,1432.630005,1432.630005,1417.050049,1424.170044,1424.170044,-8.459961000000021,-0.5905196017446213,2000,5,8,0
2000-05-09,1424.170044,1430.280029,1401.849976,1412.140015,1412.140015,-12.030029000000013,-0.8447045386667296,2000,5,9,1
2000-05-10,1412.140015,1412.140015,1375.140015,1383.050049,1383.050049,-29.089966000000004,-2.0599916220064074,2000,5,10,2
2000-05-11,1383.050049,1410.26001,1383.050049,1407.810059,1407.810059,24.760009999999966,1.790246854616906,2000,5,11,3
2000-05-12,1407.810059,1430.130005,1407.810059,1420.959961,1420.959961,13.149902000000111,0.9340679103643224,2000,5,12,4
2000-05-15,1420.959961,1452.390015,1416.540039,1452.359985,1452.359985,31.40002400000003,2.209775423784799,2000,5,15,0
2000-05-16,1452.359985,1470.400024,1450.76001,1466.040039,1466.040039,13.680053999999927,0.9419189554440877,2000,5,16,1
2000-05-17,1466.040039,1466.040039,1441.670044,1447.800049,1447.800049,-18.239990000000034,-1.2441672474676535,2000,5,17,2
2000-05-18,1447.800049,1458.040039,1436.589966,1437.209961,1437.209961,-10.590087999999923,-0.7314606742356844,2000,5,18,3
2000-05-19,1437.209961,1437.209961,1401.73999,1406.949951,1406.949951,-30.260009999999966,-2.105468986517822,2000,5,19,4
2000-05-22,1406.949951,1410.550049,1368.72998,1400.719971,1400.719971,-6.229980000000069,-0.44280039923041414,2000,5,22,0
2000-05-23,1400.719971,1403.77002,1373.430054,1373.859985,1373.859985,-26.859985999999935,-1.9175842820905897,2000,5,23,1
2000-05-24,1373.859985,1401.75,1361.089966,1399.050049,1399.050049,25.190063999999893,1.8335248333184229,2000,5,24,2
2000-05-25,1399.050049,1411.650024,1373.930054,1381.52002,1381.52002,-17.530029000000013,-1.252995131412915,2000,5,25,3
2000-05-26,1381.52002,1391.420044,1369.75,1378.02002,1378.02002,-3.5,-0.25334413901580977,2000,5,26,4
2000-05-30,1378.02002,1422.449951,1378.02002,1422.449951,1422.449951,44.429931000000124,3.2241861769178204,2000,5,30,1
2000-05-31,1422.439941,1434.48999,1415.5,1420.599976,1420.599976,-1.8499750000000859,-0.13005554246035,2000,5,31,2
2000-06-01,1420.599976,1448.810059,1420.599976,1448.810059,1448.810059,28.21008299999994,1.9857865322109536,2000,6,1,3
2000-06-02,1448.810059,1483.22998,1448.810059,1477.26001,1477.26001,28.449951000000056,1.9636770757677446,2000,6,2,4
2000-06-05,1477.26001,1477.280029,1464.680054,1467.630005,1467.630005,-9.630004999999983,-0.651882873347398,2000,6,5,0
2000-06-06,1467.630005,1471.359985,1454.73999,1457.839966,1457.839966,-9.790038999999979,-0.6670645167138001,2000,6,6,1
2000-06-07,1457.839966,1474.640015,1455.060059,1471.359985,1471.359985,13.520019000000048,0.9274007651948191,2000,6,7,2
2000-06-08,1471.359985,1475.650024,1456.48999,1461.670044,1461.670044,-9.68994100000009,-0.6585703769835805,2000,6,8,3
2000-06-09,1461.670044,1472.670044,1454.959961,1456.949951,1456.949951,-4.720092999999906,-0.3229246586379353,2000,6,9,4
2000-06-12,1456.949951,1462.930054,1445.98999,1446.0,1446.0,-10.949951000000056,-0.7515667228297329,2000,6,12,0
2000-06-13,1446.0,1470.420044,1442.380005,1469.439941,1469.439941,23.43994100000009,1.6210194329183913,2000,6,13,1
2000-06-14,1469.439941,1483.619995,1467.709961,1470.540039,1470.540039,1.100097999999889,0.07486512169059267,2000,6,14,2
2000-06-15,1470.540039,1482.040039,1464.619995,1478.72998,1478.72998,8.18994100000009,0.5569342406732014,2000,6,15,3
2000-06-16,1478.72998,1480.77002,1460.420044,1464.459961,1464.459961,-14.270019000000048,-0.9650185762785424,2000,6,16,4
