date,open,high,low,close,first_diff,pc_change,year,month,day_of_week,day
2000-08-09,4347.59,4374.68,4296.57,4317.04,-0.18000000000029104,-0.0041693497204287056,2000,8,2,9
2000-08-10,4312.24,4360.91,4244.19,4253.23,-63.8100000000004,-1.478096102885318,2000,8,3,10
2000-08-11,4236.55,4250.63,4176.47,4192.0,-61.22999999999956,-1.4396117774021056,2000,8,4,11
2000-08-14,4204.33,4233.49,4142.81,4232.51,40.51000000000022,0.9663645038167967,2000,8,0,14
2000-08-16,4263.76,4337.06,4263.76,4325.67,93.15999999999985,2.201058001044287,2000,8,2,16
2000-08-17,4346.03,4365.43,4267.91,4294.18,-31.48999999999978,-0.7279797118134201,2000,8,3,17
2000-08-18,4297.9,4364.39,4290.12,4347.04,52.85999999999967,1.230968427033785,2000,8,4,18
2000-08-21,4383.81,4426.48,4377.92,4409.57,62.529999999999745,1.4384500717729676,2000,8,0,21
2000-08-22,4481.22,4483.87,4438.72,4461.23,51.659999999999854,1.1715428034932973,2000,8,1,22
2000-08-23,4447.7,4500.3,4426.62,4444.79,-16.4399999999996,-0.36850823651771725,2000,8,2,23
2000-08-24,4445.56,4471.86,4417.14,4459.07,14.279999999999745,0.3212750208671178,2000,8,3,24
2000-08-25,4482.2,4485.63,4414.72,4416.86,-42.210000000000036,-0.946609943328991,2000,8,4,25
2000-08-28,4443.71,4452.76,4393.61,4395.81,-21.049999999999272,-0.47658291184233814,2000,8,0,28
2000-08-29,4382.56,4412.84,4370.5,4401.82,6.009999999999309,0.13672110487030764,2000,8,1,29
2000-08-30,4416.14,4436.57,4387.39,4411.85,10.030000000000655,0.22786029415107212,2000,8,2,30
2000-08-31,4409.84,4485.2,4404.62,4477.31,65.46000000000004,1.4837313145279252,2000,8,3,31
2000-09-04,4571.89,4620.32,4557.11,4602.43,125.11999999999989,2.794535111484353,2000,9,0,4
2000-09-05,4623.83,4623.83,4574.89,4598.65,-3.780000000000655,-0.08213052670004162,2000,9,1,5
2000-09-06,4577.5,4640.1,4571.92,4606.35,7.700000000000728,0.1674404444782951,2000,9,2,6
2000-09-07,4579.68,4660.68,4578.37,4628.93,22.579999999999927,0.4901928859075033,2000,9,3,7
2000-09-08,4649.97,4677.67,4640.25,4668.27,39.340000000000146,0.849872432722032,2000,9,4,8
2000-09-11,4715.3,4748.81,4694.4,4696.6,28.329999999999927,0.6068629278083826,2000,9,0,11
2000-09-12,4705.82,4766.36,4681.03,4763.63,67.02999999999975,1.427202657241411,2000,9,1,12
2000-09-13,4776.52,4790.63,4690.5,4702.52,-61.10999999999967,-1.2828452251749112,2000,9,2,13
2000-09-14,4721.98,4741.42,4640.87,4671.92,-30.600000000000364,-0.6507149358216502,2000,9,3,14
2000-09-15,4666.47,4685.66,4539.35,4562.38,-109.53999999999996,-2.34464631243686,2000,9,4,15
2000-09-18,4511.42,4513.09,4362.47,4366.41,-195.97000000000025,-4.295345850192234,2000,9,0,18
2000-09-19,4295.63,4390.21,4171.89,4264.34,-102.06999999999971,-2.3376183180232712,2000,9,1,19
2000-09-20,4325.78,4339.37,4211.87,4325.25,60.909999999999854,1.4283570259407075,2000,9,2,20
2000-09-21,4304.25,4331.38,4257.04,4257.2,-68.05000000000018,-1.5733194613028245,2000,9,3,21
2000-09-22,4188.47,4208.66,4028.49,4032.37,-224.82999999999993,-5.28117072254064,2000,9,4,22
2000-09-25,4144.81,4210.0,4105.75,4173.48,141.10999999999967,3.499430855799446,2000,9,0,25
2000-09-26,4159.87,4160.13,4056.03,4089.58,-83.89999999999964,-2.0103127366130846,2000,9,1,26
2000-09-27,4025.68,4172.65,4004.73,4164.1,74.52000000000044,1.8221920099374511,2000,9,2,27
2000-09-28,4155.71,4184.61,4043.67,4067.38,-96.72000000000025,-2.3227107898465493,2000,9,3,28
2000-09-29,4122.28,4122.28,4056.72,4090.38,23.0,0.5654745806882966,2000,9,4,29
2000-10-03,4035.64,4139.53,4028.51,4135.55,45.17000000000007,1.1042983781458071,2000,10,1,3
2000-10-04,4101.63,4173.65,4101.63,4160.41,24.859999999999673,0.6011292331128848,2000,10,2,4
2000-10-05,4177.09,4197.39,4115.62,4116.25,-44.159999999999854,-1.061433849067761,2000,10,3,5
2000-10-06,4085.02,4131.25,4042.95,4092.42,-23.829999999999927,-0.5789249924081363,2000,10,4,6
2000-10-09,4106.15,4135.16,4055.42,4056.07,-36.34999999999991,-0.888227503530914,2000,10,0,9
2000-10-10,4079.61,4079.61,3931.21,3945.28,-110.78999999999996,-2.731461735127849,2000,10,1,10
2000-10-11,3892.78,3895.81,3803.72,3836.51,-108.76999999999998,-2.756965285100166,2000,10,2,11
2000-10-12,3793.61,3879.47,3777.49,3847.58,11.069999999999709,0.28854349395674994,2000,10,3,12
2000-10-13,3749.77,3793.08,3714.46,3738.93,-108.65000000000009,-2.823852915338998,2000,10,4,13
2000-10-16,3908.73,3930.1,3726.58,3728.67,-10.259999999999764,-0.274410058492669,2000,10,0,16
2000-10-17,3702.4,3718.74,3613.74,3664.79,-63.88000000000011,-1.7132114131848675,2000,10,1,17
2000-10-18,3625.32,3640.73,3545.01,3593.63,-71.15999999999985,-1.9417210808804874,2000,10,2,18
2000-10-19,3576.44,3702.83,3491.55,3702.83,109.19999999999982,3.0387101621480284,2000,10,3,19
2000-10-20,3799.78,3801.86,3691.89,3692.75,-10.079999999999927,-0.27222421769295124,2000,10,4,20
2000-10-23,3709.54,3716.6,3608.36,3619.53,-73.2199999999998,-1.9828041432536692,2000,10,0,23
2000-10-24,3603.66,3656.31,3584.38,3651.99,32.45999999999958,0.8968015184291689,2000,10,1,24
2000-10-25,3664.12,3748.96,3662.23,3743.61,91.62000000000035,2.5087691915914423,2000,10,2,25
2000-10-26,3743.61,3761.46,3739.54,3757.16,13.549999999999727,0.36195009629742536,2000,10,3,26
2000-10-27,3770.66,3773.54,3704.54,3729.12,-28.039999999999964,-0.7463083818628924,2000,10,4,27
2000-10-30,3744.1,3751.28,3680.18,3689.43,-39.690000000000055,-1.0643261681040017,2000,10,0,30
2000-10-31,3672.48,3713.91,3646.73,3711.02,21.590000000000146,0.5851852454173079,2000,10,1,31
2000-11-01,3749.35,3807.7,3734.98,3788.53,77.51000000000022,2.0886440924597682,2000,11,2,1
2000-11-02,3799.66,3882.54,3795.45,3875.79,87.25999999999976,2.303268022161631,2000,11,3,2
2000-11-03,3907.23,3960.14,3894.59,3935.7,59.909999999999854,1.545749382706485,2000,11,4,3
2000-11-06,3971.98,4005.19,3919.34,3931.54,-4.1599999999998545,-0.10569911324541659,2000,11,0,6
2000-11-07,3917.1,3959.93,3910.81,3954.83,23.289999999999964,0.592388733168181,2000,11,1,7
2000-11-08,3958.69,4045.05,3958.69,4028.71,73.88000000000011,1.8680954680732276,2000,11,2,8
2000-11-09,3981.31,4046.01,3980.2,4022.5,-6.210000000000036,-0.15414363406648368,2000,11,3,9
2000-11-10,4011.06,4032.94,3930.35,3941.13,-81.36999999999989,-2.0228713486637684,2000,11,4,10
2000-11-13,3842.63,3863.35,3797.5,3820.08,-121.05000000000018,-3.071454126100892,2000,11,0,13
2000-11-14,3816.13,3952.39,3816.13,3943.54,123.46000000000004,3.2318694896442013,2000,11,1,14
2000-11-15,3994.88,4016.09,3931.84,3946.53,2.9900000000002365,0.07582020215339824,2000,11,2,15
2000-11-16,3946.83,3971.32,3884.88,3901.9,-44.63000000000011,-1.1308668627883267,2000,11,3,16
