date,open,high,low,close,first_diff,pc_change,month,year
2015-12-11,16.2925,17.77,15.0375,17.1825,0.8900000000000006,5.46263618229248,12,2015
2015-12-14,17.1825,18.365,16.46,17.7975,0.6149999999999984,3.5792230467044828,12,2015
2015-12-15,17.7975,18.355,16.1125,17.3425,-0.4549999999999983,-2.5565388397246758,12,2015
2015-12-16,17.3425,17.3425,14.905,16.7275,-0.615000000000002,-3.546201528038073,12,2015
2015-12-17,16.7275,16.7275,14.0225,14.215,-2.5124999999999993,-15.020176356299508,12,2015
2015-12-18,14.215,14.705,13.0375,14.4925,0.27749999999999986,1.9521632078790097,12,2015
2015-12-21,14.4925,14.9775,12.98,14.225,-0.26750000000000007,-1.8457823011902685,12,2015
2015-12-22,14.225,14.605,12.225,14.4825,0.2575000000000003,1.8101933216168709,12,2015
2015-12-23,14.4825,14.4825,12.625,13.6525,-0.8300000000000001,-5.731054721215257,12,2015
2015-12-24,13.6525,13.94,11.2025,13.745,0.09249999999999936,0.6775315876213162,12,2015
2015-12-28,13.745,14.525,10.375,14.4025,0.6575000000000006,4.78355765732994,12,2015
2015-12-29,14.4025,14.71,13.3325,14.235,-0.16750000000000043,-1.1629925360180593,12,2015
2015-12-30,14.235,14.495,12.7825,14.35,0.11500000000000021,0.8078679311556147,12,2015
2015-12-31,14.35,14.4875,12.9825,13.87,-0.4800000000000004,-3.344947735191639,12,2015
2016-01-01,13.87,14.3475,13.105,14.26,0.39000000000000057,2.811824080749825,1,2016
2016-01-04,14.26,17.1025,14.03,16.835,2.575000000000001,18.057503506311367,1,2016
2016-01-05,16.835,16.835,15.5675,16.7025,-0.13250000000000028,-0.7870507870507915,1,2016
2016-01-06,16.7025,17.1625,15.6075,16.5525,-0.15000000000000213,-0.8980691513246652,1,2016
2016-01-07,16.5525,19.255,16.49,18.96,2.4075000000000024,14.544630720434991,1,2016
2016-01-08,18.96,18.96,16.8725,17.7975,-1.1625000000000014,-6.131329113924055,1,2016
2016-01-11,17.7975,19.2025,17.7975,18.69,0.8925000000000018,5.014749262536888,1,2016
2016-01-12,18.69,19.1875,17.15,18.7125,0.0224999999999973,0.12038523274477964,1,2016
2016-01-13,18.7125,19.6625,17.5225,18.3525,-0.35999999999999943,-1.923847695390779,1,2016
2016-01-14,18.3525,19.7875,16.465,18.605,0.2525000000000013,1.3758343549925112,1,2016
2016-01-15,18.605,19.69,15.6725,19.415,0.8099999999999987,4.353668368718089,1,2016
2016-01-18,19.415,20.54,18.1025,20.225,0.8100000000000023,4.172031934071607,1,2016
2016-01-19,20.225,20.225,17.93,18.43,-1.7950000000000017,-8.875154511742899,1,2016
2016-01-20,18.43,22.1075,17.1875,20.965,2.535,13.75474769397722,1,2016
2016-01-21,20.965,21.6925,17.8525,20.8125,-0.15249999999999986,-0.727402814214162,1,2016
2016-01-22,20.8125,20.8125,17.1175,18.82,-1.9924999999999997,-9.573573573573569,1,2016
2016-01-25,18.82,19.1475,17.2125,18.265,-0.5549999999999997,-2.9489904357066887,1,2016
2016-01-27,18.265,19.27,17.935,19.0575,0.7925000000000004,4.33889953462907,1,2016
2016-01-28,19.0575,19.0575,17.2575,17.9,-1.1575000000000024,-6.073724255542445,1,2016
2016-01-29,17.9,18.8,17.075,17.24,-0.6600000000000001,-3.6871508379888285,1,2016
2016-02-01,17.24,18.1725,17.125,17.89,0.6500000000000021,3.770301624129946,2,2016
2016-02-02,17.89,18.35,16.4875,18.035,0.14499999999999957,0.8105086640581405,2,2016
2016-02-03,18.035,18.94,18.015,18.5875,0.5524999999999984,3.0634876628777397,2,2016
2016-02-04,18.5875,18.6525,17.325,18.2075,-0.379999999999999,-2.0443846671149957,2,2016
2016-02-05,18.2075,18.3275,16.5425,18.115,-0.09250000000000114,-0.5080324042290307,2,2016
2016-02-08,18.115,20.4525,17.36,20.2575,2.142500000000002,11.827215015180803,2,2016
2016-02-09,20.2575,22.0325,20.2475,21.7275,1.4699999999999989,7.256571640133269,2,2016
2016-02-10,21.7275,23.095,21.435,22.465,0.7375000000000007,3.3943159590380967,2,2016
2016-02-11,22.465,26.87,22.11,25.965,3.5,15.579790785666603,2,2016
2016-02-12,25.965,25.97,24.0075,24.6725,-1.2925000000000004,-4.977854804544579,2,2016
2016-02-15,24.6725,24.6725,21.7975,22.375,-2.2974999999999994,-9.311987030094237,2,2016
2016-02-16,22.375,23.33,17.32,23.04,0.6649999999999991,2.972067039106152,2,2016
2016-02-17,23.04,23.805,20.6375,21.8325,-1.2074999999999996,-5.2408854166666625,2,2016
2016-02-18,21.8325,22.3,19.79,21.485,-0.34750000000000014,-1.5916638039619846,2,2016
2016-02-19,21.485,21.6625,17.6975,20.915,-0.5700000000000003,-2.653013730509657,2,2016
